doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
306,0.003,0.005,0,0,0,0.011,0.019,0,0,0.061,0,0.005,0,0,0.017,0.003,0.033,0,0,0.005,0.015,0.005,0.008
307,0.003,0.008,0,0,0,0.022,0.01,0,0,0.052,0,0.116,0,0,0.017,0,0.01,0,0,0.003,0.015,0,0
308,0.003,0.005,0,0,0,0.025,0.017,0,0,0.034,0,0.149,0,0,0.01,0,0,0,0,0,0.034,0,0
309,0.003,0.005,0.005,0,0,0.041,0.026,0,0,0.032,0,0.115,0,0,0.005,0.001,0,0,0,0,0.036,0,0
310,0.003,0.005,0.005,0,0,0.038,0.025,0,0,0.029,0,0.062,0,0,0.005,0.001,0,0,0,0,0.026,0,0
311,0.003,0.005,0.005,0.003,0,0.038,0.013,0,0,0.024,0,0.046,0,0,0.005,0.004,0,0,0,0,0.014,0,0.001
312,0.003,0.005,0.005,0.009,0,0.032,0.013,0.003,0,0.019,0,0.037,0,0.005,0.005,0,0,0,0,0,0.008,0,0.004
313,0.003,0.005,0,0.025,0.003,0.032,0.01,0.003,0,0.019,0,0.034,0,0.008,0.005,0.005,0,0,0,0,0.005,0,0.004
314,0.003,0.007,0,0.037,0.003,0.032,0.01,0.003,0.003,0.019,0,0.034,0.025,0.003,0.005,0.003,0,0,0,0.003,0.005,0,0.004
315,0.003,0.003,0,0.037,0.003,0.029,0.008,0.005,0,0.017,0,0.024,0.043,0.003,0.003,0.003,0,0,0,0,0.005,0,0.004
316,0,0.003,0.003,0.02,0.003,0.027,0.005,0,0,0.017,0,0.022,0.056,0,0.003,0.003,0,0,0.003,0,0.005,0,0.005
317,0,0.003,0.003,0.014,0,0.022,0.005,0,0.005,0.034,0,0.023,0.034,0,0.006,0,0,0,0.014,0,0.008,0,0.004
318,0,0.003,0.003,0.012,0,0.022,0.01,0,0.007,0.028,0,0.031,0.029,0,0.006,0,0,0,0.023,0,0.005,0,0.004
319,0,0.005,0.003,0.014,0.001,0.022,0.01,0,0.005,0.015,0,0.035,0.027,0,0.007,0.005,0,0,0.027,0.003,0.009,0,0.005
320,0,0.008,0.003,0.013,0.013,0.022,0.005,0,0.005,0.027,0,0.11,0.024,0,0.004,0.007,0,0,0.056,0.007,0.012,0,0.005
321,0,0.05,0.003,0.005,0.076,0.024,0.005,0,0.005,0.048,0,0.141,0.024,0.003,0.003,0.01,0,0,0.023,0.007,0.009,0,0.01
322,0,0.055,0.003,0.005,0.088,0.024,0.008,0,0.005,0.048,0,0.146,0.024,0.007,0.003,0.003,0,0,0.016,0.007,0.009,0,0.005
323,0,0.039,0.003,0.005,0.057,0.026,0.01,0.006,0.013,0.043,0,0.155,0.019,0.007,0.004,0.003,0,0.001,0.013,0.005,0.009,0.008,0.004
